出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格歷史
12月20日 週五,下午1:30。,TPE,下午5:30。,NRT,,直達航班。,Non-stop,未找到飛行時間,No,Airbus A320,IT 202,經濟艙,"08/17 - $5,099, 08/18 - $5,099, 08/19 - $5,099, 08/20 - $5,099, 08/21 - $5,099, 08/22 - $5,099, 08/23 - $5,099, 08/24 - $5,099, 08/25 - $5,099, 08/26 - $5,099, 08/27 - $5,099, 08/28 - $5,099, 08/29 - $5,099, 08/30 - $5,099, 08/31 - $5,099, 09/01 - $5,099, 09/02 - $4,599, 09/03 - $4,599, 09/04 - $4,599, 09/05 - $4,599, 09/06 - $4,599, 09/07 - $4,599, 09/08 - $4,599, 09/09 - $4,599, 09/10 - $4,599, 09/11 - $4,599, 09/12 - $4,599, 09/13 - $4,599, 09/14 - $5,099, 09/15 - $5,099, 09/16 - $5,099, 09/17 - $5,099, 09/18 - $4,599, 09/19 - $4,599, 09/20 - $4,599, 09/21 - $4,599, 09/22 - $4,599, 09/23 - $4,599, 09/24 - $4,599, 09/25 - $4,599, 09/26 - $4,599, 09/27 - $4,599, 09/28 - $4,599, 09/29 - $4,599, 09/30 - $4,599, 10/01 - $4,599, 10/02 - $5,099, 10/03 - $5,099, 10/04 - $5,099, 10/05 - $5,099, 10/06 - $5,099, 10/07 - $5,099, 10/08 - $5,099, 10/09 - $5,099, 10/10 - $5,099, 10/11 - $5,099, 10/12 - $5,099, 10/13 - $5,099, 10/14 - $5,099, 10/15 - $5,099, "
12月20日 週五,凌晨2:20。,TPE,清晨6:25。,NRT,,直達航班。,Non-stop,3 小時 5 分鐘,No,Airbus A321neo,GK 12,經濟艙,"08/31 - $4,789, 09/01 - $4,789, 09/02 - $4,789, 09/03 - $4,789, 09/04 - $4,789, 09/05 - $4,789, 09/06 - $4,789, 09/07 - $4,789, 09/08 - $4,789, 09/09 - $4,789, 09/10 - $4,789, 09/11 - $4,489, 09/12 - $4,489, 09/13 - $4,489, 09/14 - $4,489, 09/15 - $4,489, 09/16 - $4,489, 09/17 - $4,489, 09/18 - $4,489, 09/19 - $4,489, 09/20 - $4,489, 09/21 - $4,489, 09/22 - $4,489, 09/23 - $4,489, 09/24 - $4,489, 09/25 - $4,489, 09/26 - $4,489, 09/27 - $4,489, 09/28 - $4,489, 09/29 - $4,489, 09/30 - $4,489, 10/01 - $4,489, 10/02 - $4,489, 10/03 - $4,489, 10/04 - $4,489, 10/05 - $4,489, 10/06 - $4,489, 10/07 - $4,489, 10/08 - $4,489, 10/09 - $3,889, 10/10 - $3,889, 10/11 - $3,889, 10/12 - $3,889, 10/13 - $3,889, 10/14 - $4,189, 10/15 - $4,189, "
12月20日 週五,中午12:10。,TPE,下午4:15。,NRT,,直達航班。,Non-stop,3 小時 5 分鐘,No,Boeing 737,SL 394,經濟艙,"08/22 - $6,159, 08/23 - $6,159, 08/24 - $6,159, 08/25 - $6,159, 08/26 - $6,954, 08/27 - $6,954, 08/28 - $6,964, 08/29 - $6,964, 08/30 - $6,964, 08/31 - $6,964, 09/01 - $6,964, 09/02 - $6,964, 09/03 - $7,049, 09/04 - $6,965, 09/05 - $6,965, 09/06 - $6,258, 09/07 - $6,271, 09/08 - $6,271, 09/09 - $6,183, 09/10 - $6,184, 09/11 - $6,179, 09/12 - $6,186, 09/13 - $6,186, 09/14 - $6,187, 09/15 - $6,189, 09/16 - $6,189, 09/17 - $6,197, 09/18 - $6,197, 09/19 - $6,191, 09/20 - $6,195, 09/21 - $6,197, 09/22 - $6,197, 09/23 - $4,897, 09/24 - $4,910, 09/25 - $4,910, 09/26 - $4,912, 09/27 - $4,916, 09/28 - $4,917, 09/29 - $4,917, 09/30 - $4,917, 10/01 - $4,917, 10/02 - $4,917, 10/03 - $4,921, 10/04 - $4,912, 10/05 - $4,506, 10/06 - $4,506, 10/07 - $4,506, 10/08 - $4,506, 10/09 - $4,497, 10/10 - $4,495, 10/11 - $4,495, 10/12 - $4,495, 10/13 - $4,495, 10/14 - $4,495, 10/15 - $4,508, "
12月20日 週五,下午2:50。,TPE,晚上7:00。,NRT,,直達航班。,Non-stop,3 小時 10 分鐘,No,Airbus A321neo,TR 874,經濟艙,"09/06 - $4,188, 09/07 - $4,188, 09/08 - $4,188, 09/09 - $4,188, 09/10 - $4,188, 09/11 - $4,188, 09/12 - $4,188, 09/13 - $4,188, 09/14 - $4,188, 09/15 - $4,188, 09/16 - $4,188, 09/17 - $4,188, 09/18 - $4,188, 09/19 - $4,188, 09/20 - $4,188, 09/21 - $4,188, 09/22 - $4,188, 09/23 - $4,188, 09/24 - $4,188, 09/25 - $4,188, 09/26 - $4,188, 09/27 - $3,588, 09/28 - $3,588, 09/29 - $3,588, 09/30 - $3,588, 10/01 - $3,588, 10/02 - $3,588, 10/03 - $4,188, 10/04 - $4,188, 10/05 - $4,188, 10/06 - $4,188, 10/07 - $4,188, 10/08 - $4,188, 10/09 - $4,188, 10/10 - $4,188, 10/11 - $4,788, 10/12 - $4,788, 10/13 - $4,788, 10/14 - $4,788, 10/15 - $4,788, "
12月20日 週五,下午2:45。,TPE,晚上7:00。,NRT,,直達航班。,Non-stop,3 小時 15 分鐘,No,Airbus A320,IT 700,經濟艙,"08/23 - $3,299, 08/24 - $3,299, 08/25 - $3,699, 08/26 - $3,699, 08/27 - $3,699, 08/28 - $3,699, 08/29 - $3,699, 08/30 - $3,699, 08/31 - $3,699, 09/01 - $3,699, 09/02 - $4,099, 09/03 - $3,699, 09/04 - $4,099, 09/05 - $4,099, 09/06 - $4,099, 09/07 - $4,099, 09/08 - $4,099, 09/09 - $4,099, 09/10 - $4,099, 09/11 - $4,099, 09/12 - $4,099, 09/13 - $4,099, 09/14 - $4,099, 09/15 - $4,099, 09/16 - $4,099, 09/17 - $4,099, 09/18 - $4,099, 09/19 - $3,699, 09/20 - $3,699, 09/21 - $3,699, 09/22 - $3,699, 09/23 - $3,699, 09/24 - $3,699, 09/25 - $3,699, 09/26 - $3,699, 09/27 - $3,699, 09/28 - $4,099, 09/29 - $4,599, 09/30 - $4,599, 10/01 - $4,599, 10/02 - $4,599, 10/03 - $4,599, 10/04 - $4,599, 10/05 - $4,599, 10/06 - $4,599, 10/07 - $4,599, 10/08 - $4,599, 10/09 - $4,599, 10/10 - $4,599, 10/11 - $4,599, 10/12 - $4,599, 10/13 - $4,599, 10/14 - $4,599, 10/15 - $4,599, "
12月20日 週五,中午12:50。,TPE,下午4:50。,NRT,,直達航班。,Non-stop,未找到飛行時間,No,Airbus A320,GK 14,經濟艙,"08/31 - $5,889, 09/01 - $5,889, 09/02 - $5,889, 09/03 - $5,889, 09/04 - $5,889, 09/05 - $5,889, 09/06 - $5,889, 09/07 - $5,889, 09/08 - $5,889, 09/09 - $4,189, 09/10 - $4,189, 09/11 - $3,589, 09/12 - $3,589, 09/13 - $3,589, 09/14 - $3,589, 09/15 - $3,589, 09/16 - $3,589, 09/17 - $3,589, 09/18 - $3,589, 09/19 - $3,589, 09/20 - $3,589, 09/21 - $3,589, 09/22 - $3,589, 09/23 - $3,589, 09/24 - $3,589, 09/25 - $3,589, 09/26 - $3,589, 09/27 - $3,589, 09/28 - $3,589, 09/29 - $3,589, 09/30 - $3,589, 10/01 - $3,589, 10/02 - $3,589, 10/03 - $3,589, 10/04 - $3,889, 10/05 - $3,889, 10/06 - $3,889, 10/07 - $3,716, 10/08 - $3,716, 10/09 - $3,889, 10/10 - $4,789, 10/11 - $4,789, 10/12 - $4,789, 10/13 - $4,789, 10/14 - $4,789, 10/15 - $4,789, "
12月20日 週五,凌晨12:10。,TPE,凌晨4:00。,HND,,直達航班。,Non-stop,2 小時 50 分鐘,No,Airbus A320,IT 216,經濟艙,"08/17 - $6,099, 08/18 - $6,099, 08/19 - $6,099, 08/20 - $6,099, 08/21 - $6,099, 08/22 - $6,099, 08/23 - $6,099, 08/24 - $6,099, 08/25 - $6,099, 08/26 - $6,099, 08/27 - $6,099, 08/28 - $6,099, 08/29 - $6,099, 08/30 - $6,099, 08/31 - $6,099, 09/01 - $6,099, 09/02 - $5,099, 09/03 - $5,099, 09/04 - $5,099, 09/05 - $5,099, 09/06 - $5,099, 09/07 - $5,099, 09/08 - $5,099, 09/09 - $5,099, 09/10 - $5,099, 09/11 - $5,099, 09/12 - $5,599, 09/13 - $5,599, 09/14 - $5,599, 09/15 - $5,599, 09/16 - $5,599, 09/17 - $5,599, 09/18 - $5,599, 09/19 - $5,599, 09/20 - $5,599, 09/21 - $5,599, 09/22 - $5,599, 09/23 - $5,599, 09/24 - $5,599, 09/25 - $5,599, 09/26 - $5,599, 09/27 - $5,599, 09/28 - $6,099, 09/29 - $6,099, 09/30 - $6,099, 10/01 - $6,099, 10/02 - $6,099, 10/03 - $6,099, 10/04 - $6,099, 10/05 - $6,099, 10/06 - $6,099, 10/07 - $6,099, 10/08 - $6,099, 10/09 - $6,099, 10/10 - $6,099, 10/11 - $6,099, 10/12 - $6,099, 10/13 - $6,099, 10/14 - $6,099, 10/15 - $6,099, "
12月20日 週五,晚上8:55。,TPE,"凌晨12:55 (星期六, 12月 21)。",HND,,直達航班。,Non-stop,未找到飛行時間,No,Airbus A320neo,MM 860,經濟艙,"08/17 - $5,810, 08/18 - $5,810, 08/19 - $5,810, 08/20 - $5,810, 08/21 - $5,810, 08/22 - $5,810, 08/23 - $5,810, 08/24 - $5,810, 08/25 - $5,810, 08/26 - $5,810, 08/27 - $5,810, 08/28 - $5,810, 08/29 - $5,810, 08/30 - $5,810, 08/31 - $5,810, 09/01 - $5,810, 09/02 - $5,810, 09/03 - $5,810, 09/04 - $5,810, 09/05 - $5,810, 09/06 - $6,540, 09/07 - $6,540, 09/08 - $6,540, 09/09 - $6,540, 09/10 - $6,540, 09/11 - $5,310, 09/12 - $5,310, 09/13 - $5,810, 09/14 - $5,810, 09/15 - $5,810, 09/16 - $5,810, 09/17 - $5,810, 09/18 - $5,810, 09/19 - $5,810, 09/20 - $5,810, 09/21 - $5,310, 09/22 - $5,310, 09/23 - $5,310, 09/24 - $5,310, 09/25 - $5,310, 09/26 - $5,310, 09/27 - $5,310, 09/28 - $5,310, 09/29 - $5,810, 09/30 - $5,810, 10/01 - $5,810, 10/02 - $5,810, 10/03 - $5,810, 10/04 - $5,810, 10/05 - $5,810, 10/06 - $5,810, 10/07 - $5,310, 10/08 - $5,310, 10/09 - $5,310, 10/10 - $5,310, 10/11 - $5,310, 10/12 - $5,310, 10/13 - $5,310, 10/14 - $5,310, 10/15 - $5,310, "
12月20日 週五,清晨6:40。,TPE,上午10:45。,NRT,,直達航班。,Non-stop,3 小時 5 分鐘,No,Boeing 787,TR 898,經濟艙,"09/06 - $4,788, 09/07 - $5,488, 09/08 - $5,488, 09/09 - $5,488, 09/10 - $5,488, 09/11 - $5,488, 09/12 - $5,488, 09/13 - $5,488, 09/14 - $5,488, 09/15 - $5,488, 09/16 - $5,488, 09/17 - $5,488, 09/18 - $5,488, 09/19 - $4,788, 09/20 - $4,788, 09/21 - $4,788, 09/22 - $4,788, 09/23 - $4,788, 09/24 - $4,788, 09/25 - $4,788, 09/26 - $4,788, 09/27 - $4,788, 09/28 - $4,788, 09/29 - $4,788, 09/30 - $4,788, 10/01 - $4,788, 10/02 - $4,788, 10/03 - $4,788, 10/04 - $4,788, 10/05 - $5,488, 10/06 - $5,488, 10/07 - $5,488, 10/08 - $5,488, 10/09 - $5,488, 10/10 - $5,488, 10/11 - $5,488, 10/12 - $5,488, 10/13 - $5,488, 10/14 - $5,488, 10/15 - $5,488, "
12月20日 週五,凌晨2:25。,TPE,清晨6:30。,NRT,,直達航班。,Non-stop,3 小時 5 分鐘,No,Airbus A320,MM 620,經濟艙,"08/17 - $7,440, 08/18 - $7,440, 08/19 - $7,440, 08/20 - $7,440, 08/21 - $7,440, 08/22 - $6,140, 08/23 - $6,140, 08/24 - $6,140, 08/25 - $7,440, 08/26 - $7,440, 08/27 - $7,440, 08/28 - $6,140, 08/29 - $6,140, 08/30 - $6,140, 08/31 - $6,140, 09/01 - $3,790, 09/02 - $3,790, 09/03 - $4,190, 09/04 - $4,190, 09/05 - $4,190, 09/06 - $6,140, 09/07 - $6,140, 09/08 - $6,740, 09/09 - $6,740, 09/10 - $6,740, 09/11 - $4,190, 09/12 - $4,990, 09/13 - $4,990, 09/14 - $4,990, 09/15 - $4,990, 09/16 - $6,140, 09/17 - $6,740, 09/18 - $7,440, 09/19 - $7,440, 09/20 - $6,140, 09/21 - $3,790, 09/22 - $3,790, 09/23 - $4,190, 09/24 - $4,190, 09/25 - $4,190, 09/26 - $3,790, 09/27 - $3,010, 09/28 - $4,190, 09/29 - $4,190, 09/30 - $4,190, 10/01 - $4,190, 10/02 - $3,010, 10/03 - $4,190, 10/04 - $4,990, 10/05 - $4,990, 10/06 - $6,140, 10/07 - $3,390, 10/08 - $4,590, 10/09 - $4,590, 10/10 - $4,590, 10/11 - $6,740, 10/12 - $3,790, 10/13 - $4,590, 10/14 - $6,140, 10/15 - $6,140, "
